recency,purchase_frequency,avg_order_value,avg_purchase_interval,purchase_regularity
325,30.0,77183.6,1.0,1.0
1,14.96,23.68,2.0054945054945055,0.4986301369863014
74,3.3,57.98,9.096774193548388,0.1099290780141844
18,2190.0,24.08,0.0136986301369863,73.0
309,510.0,19.67,0.058823529411764705,17.0
35,9.81,29.48,3.0588235294117645,0.3269230769230769
203,120.0,22.25,0.25,4.0
231,1740.0,18.61,0.017241379310344827,58.0
213,390.0,35.34,0.07692307692307693,13.0
22,5.86,47.65,5.11864406779661,0.19536423841059603
32,3930.0,47.39,0.007633587786259542,131.0
1,3.83,61.48,7.842105263157895,0.12751677852348994
57,27.15,25.7,1.1048387096774193,0.9051094890510949
51,26.15,20.64,1.1472868217054264,0.8716216216216216
286,300.0,18.99,0.1,10.0
2,27.33,19.65,1.0977443609022557,0.910958904109589
109,5.23,24.0,5.739130434782608,0.17424242424242425
7,24.52,15.45,1.223529411764706,0.8173076923076923
290,660.0,29.15,0.045454545454545456,22.0
3,330.0,15.35,0.09090909090909091,11.0
50,16.21,21.23,1.8502994011976048,0.540453074433657
44,135.0,29.97,0.2222222222222222,4.5
71,6.96,24.96,4.3076923076923075,0.23214285714285715
310,420.0,26.04,0.07142857142857142,14.0
24,990.0,22.51,0.030303030303030304,33.0
10,5.86,26.91,5.117647058823529,0.19540229885057472
314,59.23,21.14,0.5064935064935064,1.9743589743589745
129,6570.0,18.3,0.0045662100456621,219.0
81,13.64,21.31,2.2,0.45454545454545453
21,19.02,26.2,1.5769230769230769,0.6341463414634146
4,22.7,21.21,1.3218390804597702,0.7565217391304347
184,17.78,18.69,1.6868686868686869,0.592814371257485
28,8.8,21.68,3.4074074074074074,0.29347826086956524
337,10.34,40.19,2.9,0.3448275862068966
15,9.65,27.81,3.11,0.3215434083601286
79,960.0,17.18,0.03125,32.0
21,3000.0,4.61,0.01,100.0
71,7.38,24.73,4.0625,0.24615384615384617
63,5.29,47.13,5.666666666666667,0.17647058823529413
18,13.33,19.35,2.25,0.4444444444444444
35,38.18,19.13,0.7857142857142857,1.2727272727272727
45,2550.0,19.24,0.011764705882352941,85.0
118,12.46,18.79,2.406779661016949,0.4154929577464789
302,150.0,16.86,0.2,5.0
322,330.0,20.51,0.09090909090909091,11.0
49,150.0,85.54,0.2,5.0
148,1620.0,31.67,0.018518518518518517,54.0
21,19.57,32.53,1.5333333333333334,0.6521739130434783
49,10.79,22.18,2.779220779220779,0.3598130841121495
32,13.88,27.51,2.1619047619047618,0.46255506607929514
78,31.75,101.58,0.944954128440367,1.058252427184466
308,780.0,26.67,0.038461538461538464,26.0
74,19.47,20.11,1.540983606557377,0.648936170212766
