CustomerID,order_count,total_spend,avg_order_value,first_purchase,last_purchase,customer_lifespan,purchase_frequency
12346,1,77183.6,77183.6,2011-01-18 10:01:00,2011-01-18 10:01:00,1,30.0
12347,182,4310.0,23.68,2010-12-07 14:57:00,2011-12-07 15:52:00,365,14.96
12348,31,1797.24,57.98,2010-12-16 19:09:00,2011-09-25 13:13:00,282,3.3
12349,73,1757.55,24.08,2011-11-21 09:51:00,2011-11-21 09:51:00,1,2190.0
12350,17,334.4,19.67,2011-02-02 16:01:00,2011-02-02 16:01:00,1,510.0
12352,85,2506.04,29.48,2011-02-16 12:33:00,2011-11-03 14:37:00,260,9.81
12353,4,89.0,22.25,2011-05-19 17:47:00,2011-05-19 17:47:00,1,120.0
12354,58,1079.4,18.61,2011-04-21 13:11:00,2011-04-21 13:11:00,1,1740.0
12355,13,459.4,35.34,2011-05-09 13:49:00,2011-05-09 13:49:00,1,390.0
12356,59,2811.43,47.65,2011-01-18 09:50:00,2011-11-17 08:40:00,302,5.86
12357,131,6207.67,47.39,2011-11-06 16:07:00,2011-11-06 16:07:00,1,3930.0
12358,19,1168.06,61.48,2011-07-12 10:04:00,2011-12-08 10:26:00,149,3.83
12359,248,6372.58,25.7,2011-01-12 12:43:00,2011-10-13 12:47:00,274,27.15
12360,129,2662.06,20.64,2011-05-23 09:43:00,2011-10-18 15:22:00,148,26.15
12361,10,189.9,18.99,2011-02-25 13:51:00,2011-02-25 13:51:00,1,300.0
12362,266,5226.23,19.65,2011-02-17 10:30:00,2011-12-06 15:40:00,292,27.33
12363,23,552.0,24.0,2011-04-11 13:29:00,2011-08-22 10:18:00,132,5.23
12364,85,1313.1,15.45,2011-08-19 15:24:00,2011-12-02 10:22:00,104,24.52
12365,22,641.38,29.15,2011-02-21 13:51:00,2011-02-21 14:04:00,1,660.0
12367,11,168.9,15.35,2011-12-05 16:48:00,2011-12-05 16:48:00,1,330.0
12370,167,3545.69,21.23,2010-12-14 12:58:00,2011-10-19 14:51:00,309,16.21
