CustomerID,order_count,total_spend,avg_order_value,first_purchase,last_purchase,customer_lifespan,purchase_frequency,Segment,total_spend_mean,total_spend_count,purchase_frequency_mean,customer_lifespan_mean,Segment_Label
12346,1,77183.6,77183.6,2011-01-18 10:01:00,2011-01-18 10:01:00,1,30.0,0,3180.78,1865,16.36,267.89,High Value Irregular
12347,182,4310.0,23.68,2010-12-07 14:57:00,2011-12-07 15:52:00,365,14.96,0,3180.78,1865,16.36,267.89,High Value Irregular
12348,31,1797.24,57.98,2010-12-16 19:09:00,2011-09-25 13:13:00,282,3.3,0,3180.78,1865,16.36,267.89,High Value Irregular
12349,73,1757.55,24.08,2011-11-21 09:51:00,2011-11-21 09:51:00,1,2190.0,2,938.09,286,1936.3,1.37,Low Value Regular
12350,17,334.4,19.67,2011-02-02 16:01:00,2011-02-02 16:01:00,1,510.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12352,85,2506.04,29.48,2011-02-16 12:33:00,2011-11-03 14:37:00,260,9.81,0,3180.78,1865,16.36,267.89,High Value Irregular
12353,4,89.0,22.25,2011-05-19 17:47:00,2011-05-19 17:47:00,1,120.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12354,58,1079.4,18.61,2011-04-21 13:11:00,2011-04-21 13:11:00,1,1740.0,2,938.09,286,1936.3,1.37,Low Value Regular
12355,13,459.4,35.34,2011-05-09 13:49:00,2011-05-09 13:49:00,1,390.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12356,59,2811.43,47.65,2011-01-18 09:50:00,2011-11-17 08:40:00,302,5.86,0,3180.78,1865,16.36,267.89,High Value Irregular
12357,131,6207.67,47.39,2011-11-06 16:07:00,2011-11-06 16:07:00,1,3930.0,2,938.09,286,1936.3,1.37,Low Value Regular
12358,19,1168.06,61.48,2011-07-12 10:04:00,2011-12-08 10:26:00,149,3.83,0,3180.78,1865,16.36,267.89,High Value Irregular
12359,248,6372.58,25.7,2011-01-12 12:43:00,2011-10-13 12:47:00,274,27.15,0,3180.78,1865,16.36,267.89,High Value Irregular
12360,129,2662.06,20.64,2011-05-23 09:43:00,2011-10-18 15:22:00,148,26.15,0,3180.78,1865,16.36,267.89,High Value Irregular
12361,10,189.9,18.99,2011-02-25 13:51:00,2011-02-25 13:51:00,1,300.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12362,266,5226.23,19.65,2011-02-17 10:30:00,2011-12-06 15:40:00,292,27.33,0,3180.78,1865,16.36,267.89,High Value Irregular
12363,23,552.0,24.0,2011-04-11 13:29:00,2011-08-22 10:18:00,132,5.23,1,610.78,2179,273.52,29.71,Low Value Irregular
12364,85,1313.1,15.45,2011-08-19 15:24:00,2011-12-02 10:22:00,104,24.52,1,610.78,2179,273.52,29.71,Low Value Irregular
12365,22,641.38,29.15,2011-02-21 13:51:00,2011-02-21 14:04:00,1,660.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12367,11,168.9,15.35,2011-12-05 16:48:00,2011-12-05 16:48:00,1,330.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12370,167,3545.69,21.23,2010-12-14 12:58:00,2011-10-19 14:51:00,309,16.21,0,3180.78,1865,16.36,267.89,High Value Irregular
12371,63,1887.96,29.97,2011-10-11 10:43:00,2011-10-26 10:16:00,14,135.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12372,52,1298.04,24.96,2011-02-16 12:46:00,2011-09-29 12:12:00,224,6.96,0,3180.78,1865,16.36,267.89,High Value Irregular
12373,14,364.6,26.04,2011-02-01 13:10:00,2011-02-01 13:10:00,1,420.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12374,33,742.93,22.51,2011-11-14 15:37:00,2011-11-14 15:37:00,1,990.0,1,610.78,2179,273.52,29.71,Low Value Irregular
12375,17,457.5,26.91,2011-09-02 14:23:00,2011-11-29 10:36:00,87,5.86,1,610.78,2179,273.52,29.71,Low Value Irregular
12377,77,1628.12,21.14,2010-12-20 09:37:00,2011-01-28 15:45:00,39,59.23,1,610.78,2179,273.52,29.71,Low Value Irregular
12378,219,4008.62,18.3,2011-08-02 10:34:00,2011-08-02 10:34:00,1,6570.0,2,938.09,286,1936.3,1.37,Low Value Regular
12379,40,852.24,21.31,2011-06-22 16:32:00,2011-09-19 10:09:00,88,13.64,1,610.78,2179,273.52,29.71,Low Value Irregular
