purchase_number,total_orders,avg_order_amount,avg_days_gap_between_purchases
1,4338,57.24,
2,4267,39.47,1.84
3,4213,69.69,1.61
4,4159,27.66,1.99
5,4111,27.38,1.42
6,4039,25.22,2.38
7,3966,25.2,1.52
8,3899,24.11,2.09
9,3829,22.4,2.4
10,3756,23.39,2.54
11,3678,22.46,2.24
12,3604,21.68,2.62
13,3537,21.97,2.4
14,3476,22.92,2.6
15,3411,21.47,2.58
16,3345,20.87,3.42
17,3285,20.58,4.14
18,3230,20.38,3.04
19,3178,20.86,2.28
20,3112,21.56,2.65
21,3053,19.84,2.96
22,2990,21.33,2.21
23,2946,22.2,2.31
24,2893,21.72,2.9
25,2851,20.74,2.29
26,2802,22.62,1.44
27,2752,21.54,2.62
28,2707,21.34,1.89
29,2644,21.3,2.24
30,2581,18.89,2.52
31,2536,22.41,2.43
32,2488,21.15,2.23
33,2459,22.14,2.31
34,2420,20.54,1.79
35,2386,20.68,2.55
36,2341,22.88,2.35
37,2321,20.96,1.94
38,2290,20.53,1.75
39,2256,21.49,2.57
40,2220,19.63,2.76
41,2191,20.72,2.14
42,2159,22.53,2.14
43,2123,21.56,2.1
44,2093,20.23,2.08
45,2072,20.46,1.62
46,2038,19.77,1.73
47,2007,19.29,1.84
48,1973,19.77,1.8
49,1949,19.24,1.61
50,1931,18.62,2.27
51,1908,20.92,1.74
52,1888,20.39,1.81
53,1860,19.3,1.85
54,1829,21.17,2.14
55,1807,19.03,2.35
56,1785,19.11,1.84
57,1773,20.66,1.55
58,1747,21.9,1.8
59,1726,20.34,1.58
60,1705,20.0,1.82
61,1680,19.68,2.18
62,1661,20.01,1.94
63,1638,20.18,2.38
64,1611,20.91,2.03
65,1594,18.86,2.03
66,1581,18.91,2.13
67,1563,20.52,1.92
68,1545,18.74,1.7
69,1533,20.18,1.63
70,1505,20.13,1.67
71,1490,19.74,2.15
72,1473,18.94,1.38
73,1459,20.32,1.5
74,1443,20.16,1.39
75,1428,20.16,1.34
76,1416,19.59,1.67
77,1399,18.65,1.86
78,1383,20.89,2.24
79,1365,20.48,1.7
80,1350,20.54,1.42
81,1341,19.98,1.19
82,1332,22.21,1.28
83,1315,22.66,1.45
84,1301,21.54,1.5
85,1286,27.49,1.03
86,1271,20.47,1.0
87,1254,19.95,1.04
88,1234,22.73,1.49
89,1224,20.77,1.36
90,1212,21.44,1.55
91,1198,21.75,1.52
92,1187,19.22,1.13
93,1174,20.53,1.47
94,1162,22.75,1.98
95,1154,20.59,1.41
96,1146,20.87,1.43
97,1135,20.21,1.31
98,1120,19.78,1.31
99,1104,20.69,1.12
100,1091,20.89,1.19
101,1080,22.95,0.91
102,1064,19.35,0.89
103,1051,19.24,2.21
104,1040,20.37,1.17
105,1028,19.99,1.59
106,1016,21.54,1.29
107,1007,24.01,1.37
108,999,23.11,1.36
109,987,21.69,1.13
110,975,22.47,1.12
111,966,19.66,1.44
112,951,19.97,0.98
113,945,20.83,1.4
114,939,18.96,1.09
115,930,19.7,1.36
116,918,24.05,1.43
117,911,21.0,1.1
118,897,21.32,0.7
119,886,20.73,1.07
120,880,20.67,1.22
121,875,20.96,1.16
122,866,20.71,1.02
123,862,22.05,0.87
124,851,21.19,1.2
125,841,20.2,1.0
126,831,20.13,0.96
127,826,20.19,0.91
128,815,20.39,0.8
129,806,19.36,1.03
130,800,19.87,1.08
131,791,20.13,0.91
132,785,21.48,1.59
133,780,21.31,1.22
134,776,19.6,0.63
135,764,20.67,0.94
136,752,18.52,0.98
137,748,21.02,1.26
138,742,22.34,1.19
139,739,20.67,1.22
140,734,19.17,1.55
141,727,17.83,0.84
