recency,purchase_frequency,avg_order_value,avg_purchase_interval,purchase_regularity,avg_order_value_score,recency_score,avg_purchase_interval_score,purchase_regularity_score,purchase_frequency_score,final_score,score_category
325,30.0,77183.6,1.0,1.0,1.0000000000000002,0.12868632707774796,0.0064508395898486455,0.0033452833683843483,0.003345750358312916,33.0,Low
1,14.96,23.68,2.005494505494505,0.4986301369863014,0.0002796006815104656,0.9973190348525469,0.012959036474090246,0.0016571325617980312,0.0016577233409017702,25.0,Low
74,3.3,57.98,9.096774193548388,0.1099290780141844,0.0007240076961448016,0.8016085790884718,0.05885828716008044,0.00034834626522957124,0.0003490534590524377,21.0,Low
18,2190.0,24.08,0.0136986301369863,73.0,0.0002847832706024112,0.9517426273458445,6.687282803249285e-05,0.24577480903553411,0.24577516243331787,30.0,Low
309,510.0,19.67,0.0588235294117647,17.0,0.00022764522586371088,0.17158176943699732,0.0003589497387038201,0.05721851129441763,0.057218953041647355,6.0,Very Low
35,9.81,29.48,3.0588235294117645,0.3269230769230769,0.00035474822334367694,0.906166219839142,0.019776848639227948,0.0010789817128420828,0.0010797087704451612,23.0,Low
203,120.0,22.25,0.25,4.0,0.00026107292550676004,0.4557640750670241,0.0015963648647176127,0.013446513604515589,0.013446975861438124,12.0,Very Low
231,1740.0,18.61,0.0172413793103448,58.0,0.000213911364770055,0.38069705093833783,8.980374312522311e-05,0.1952686578548779,0.19526903491769185,14.0,Very Low
213,390.0,35.34,0.0769230769230769,13.0,0.00043067315354068013,0.42895442359249325,0.0004761014666104512,0.043750204312909304,0.04375065237081375,12.0,Very Low
22,5.86,47.65,5.11864406779661,0.195364238410596,0.0005901673328453062,0.9410187667560321,0.03310931096175465,0.0006360130070378896,0.000636377206696888,24.0,Low
32,3930.0,47.39,0.0076335877862595,131.0,0.0005867986499355415,0.9142091152815013,2.761603496788945e-05,0.4410652602674048,0.44106552216040523,34.0,Low
1,3.83,61.48,7.842105263157895,0.1275167785234899,0.0007693553506993255,0.9973190348525469,0.05073727567876332,0.0004075654026191104,0.00040853845368195286,26.0,Low
57,27.15,25.7,1.1048387096774193,0.9051094890510948,0.0003057727564247909,0.8471849865951743,0.007129422078307822,0.00302577973561134,0.0030258782173806175,21.0,Low
51,26.15,20.64,1.1472868217054264,0.8716216216216216,0.00024021300441167895,0.8632707774798928,0.007404173127600476,0.0029130235159372905,0.002913642378457004,22.0,Low
